date,Mango,Banana,Apple,Grapes,Orange,Watermelon,Papaya,Guava,Pineapple,Pomegranate,Potato,Onion,Tomato,Cauliflower,Cabbage,Brinjal,Spinach,Okra,Green Peas,Carrot
2023-06-01,88.25,48.70,158.95,175.80,153.10,42.50,30.80,73.25,82.40,255.60,42.70,28.95,166.75,130.25,138.50,33.10,121.80,37.45,170.50,83.75
2023-06-02,94.80,58.20,164.70,176.75,154.85,45.20,29.65,70.90,85.20,284.70,46.10,29.50,178.40,134.70,143.20,34.20,125.40,36.90,171.80,89.40
2023-06-03,87.45,51.45,142.40,181.50,157.20,47.80,26.45,69.25,81.60,220.85,44.40,30.10,193.55,138.50,139.60,32.45,123.10,31.75,168.65,78.90
2023-06-04,92.70,52.90,150.90,174.20,150.60,41.70,30.80,72.10,84.30,240.10,45.95,27.90,162.40,135.85,132.40,30.80,118.20,33.10,169.75,85.60
2023-06-05,85.15,55.10,155.75,182.65,156.15,40.10,27.90,74.60,80.70,277.40,38.80,31.80,185.75,144.10,141.60,33.50,127.60,34.80,167.20,76.40
2023-06-06,89.90,46.60,171.90,179.40,158.45,44.60,25.75,71.95,82.90,292.15,39.75,30.90,178.90,131.65,137.90,32.75,125.80,35.95,174.50,90.10
2023-06-07,84.25,62.80,165.15,177.75,159.75,48.25,28.40,75.20,85.40,255.20,35.65,31.40,179.65,136.40,139.30,31.60,122.30,32.80,165.15,81.30
2023-06-08,88.40,53.30,178.40,178.90,151.85,47.40,29.60,71.55,83.60,211.80,38.40,31.10,185.20,140.25,130.70,34.90,126.80,35.25,173.80,87.50
2023-06-09,89.70,59.20,163.70,175.20,154.20,43.90,28.20,77.05,88.20,290.60,36.90,29.80,171.90,130.60,140.80,33.80,124.50,38.20,166.45,84.60
2023-06-10,80.90,54.50,174.10,179.75,153.45,40.70,26.75,70.90,80.10,280.30,35.75,28.40,192.50,139.85,137.10,30.20,121.10,32.50,173.25,81.90
2023-06-11,87.60,45.60,160.45,182.50,157.60,44.80,29.20,73.35,81.30,215.10,41.80,28.90,175.70,132.20,136.60,32.80,119.70,33.90,169.80,79.10
2023-06-12,80.75,48.90,168.50,177.95,155.10,41.40,27.95,70.75,84.50,230.20,37.40,30.70,182.80,131.10,133.50,31.60,118.40,34.75,162.70,86.30
2023-06-13,90.80,63.40,156.80,180.70,150.45,43.60,30.10,74.80,82.60,295.45,39.60,30.40,198.60,137.50,138.40,33.20,123.80,35.60,168.35,82.20
2023-06-14,85.55,56.70,173.25,176.85,157.85,49.40,28.25,72.05,86.30,220.75,40.50,29.30,180.20,130.40,142.60,32.45,125.20,34.20,172.40,87.80
2023-06-15,88.30,50.80,158.60,183.20,154.30,45.70,29.45,76.10,80.90,257.60,41.25,30.20,176.30,137.70,134.70,31.90,126.10,32.80,169.15,83.50
2023-06-16,82.85,61.30,166.75,177.25,156.75,48.20,27.15,71.45,84.20,240.15,38.80,30.60,181.75,130.95,130.20,30.75,117.70,35.10,165.70,78.80
2023-06-17,84.10,53.40,179.30,181.40,152.20,44.50,28.90,75.80,82.90,211.30,35.45,28.90,188.40,140.80,140.60,33.10,121.80,37.40,174.80,79.90
2023-06-18,93.35,59.50,163.55,175.65,153.95,42.60,30.20,72.15,80.60,222.70,37.10,29.50,162.50,137.25,143.40,31.30,118.90,36.25,171.25,80.40
2023-06-19,96.60,62.60,155.80,178.90,157.45,46.10,27.80,73.50,81.70,281.25,39.30,28.60,170.75,136.40,133.90,33.20,119.40,33.80,169.10,84.90
2023-06-20,82.85,46.70,168.05,182.15,155.70,44.40,29.50,74.80,84.80,256.70,36.20,29.20,183.40,134.55,132.20,32.45,122.50,35.95,168.25,79.70
2023-06-21,90.10,50.80,157.30,177.40,156.95,43.20,28.10,76.10,85.90,219.35,38.15,31.40,174.90,141.50,137.50,33.70,127.60,36.85,171.60,82.60
2023-06-22,83.75,55.90,172.55,181.65,151.30,47.30,29.90,72.40,82.00,240.40,40.30,29.50,187.50,137.75,141.90,31.80,122.10,35.05,165.75,83.20
2023-06-23,85.60,62.00,165.80,174.90,153.80,42.80,28.60,74.70,83.10,287.05,42.40,30.80,195.80,133.90,137.40,34.60,123.70,34.40,169.45,89.50
2023-06-24,87.85,54.10,179.05,177.15,156.15,45.60,30.30,76.00,84.20,250.20,41.80,29.60,179.30,130.05,131.90,32.10,121.30,35.95,168.10,82.70
2023-06-25,84.90,59.20,158.30,183.40,152.70,43.40,28.10,71.80,80.30,234.85,38.60,28.50,178.10,133.20,139.10,30.95,125.90,37.00,165.25,85.90
2023-06-26,82.75,47.30,174.55,175.65,151.95,41.80,27.20,74.10,82.40,271.40,36.70,29.80,183.45,131.35,132.20,34.40,119.80,37.45,172.00,82.20
2023-06-27,91.10,52.40,160.80,176.90,159.25,40.20,29.40,73.40,84.50,244.05,37.95,28.60,181.20,133.50,133.10,31.10,123.40,34.70,169.65,87.50
2023-06-28,86.35,61.50,176.05,179.15,152.60,45.70,28.00,76.70,83.60,213.70,38.20,31.50,192.95,130.65,135.70,30.70,127.00,36.85,166.50,88.70
2023-06-29,88.60,54.60,167.30,182.40,157.10,48.60,28.90,72.00,80.70,231.35,35.80,30.30,194.70,132.80,134.20,31.40,124.60,35.00,171.35,84.10
2023-06-30,86.85,57.70,162.55,175.65,155.65,47.00,29.80,73.30,82.80,290.00,37.05,29.10,180.60,134.95,138.80,32.10,122.20,38.15,164.20,89.90
2023-07-01,90.60,49.80,179.80,179.90,152.10,44.60,27.40,76.60,85.90,257.65,38.30,30.40,175.90,130.10,130.50,33.80,118.80,39.30,165.75,86.20
2023-07-02,85.35,53.90,157.05,183.15,157.55,42.00,28.90,72.90,83.00,230.30,36.75,30.60,198.40,137.25,142.70,32.45,121.40,36.45,169.80,82.40
2023-07-03,89.10,60.00,172.30,176.40,154.00,45.50,30.60,74.20,84.10,212.95,38.95,28.40,181.50,134.40,132.20,31.10,125.00,33.60,167.95,80.60
2023-07-04,81.85,48.10,168.55,182.65,153.25,44.80,28.30,73.50,85.20,289.60,37.50,29.60,182.60,132.55,136.70,32.80,120.60,35.75,171.10,87.80
